ParentSalary,ParentEducation,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q2_4
"Over $100,000",College or beyond,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Prefer not to answer,College or beyond,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree
"$75,000 to $99,999",College or beyond,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"$50,000 to $74,999",College or beyond,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
"$20,000 to $34,999",High school,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
"$20,000 to $34,999",College or beyond,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
"$75,000 to $99,999",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
"$75,000 to $99,999",High school,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree
"$75,000 to $99,999",College or beyond,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"Over $100,000",College or beyond,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree
"Over $100,000",College or beyond,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
"$50,000 to $74,999",College or beyond,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"$50,000 to $74,999",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree
"$50,000 to $74,999",High school,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree
"$50,000 to $74,999",College or beyond,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
"Over $100,000",College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"Over $100,000",College or beyond,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"$50,000 to $74,999",College or beyond,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
Prefer not to answer,College or beyond,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
"Over $100,000",High school,Agree,Agree,Agree,Disagree,Agree,Agree,Agree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
Prefer not to answer,College or beyond,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree
"Over $100,000",College or beyond,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree
"Over $100,000",High school,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"Over $100,000",College or beyond,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"Over $100,000",College or beyond,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
"$35,000 to $49,999",College or beyond,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
Prefer not to answer,College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
"$50,000 to $74,999",College or beyond,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"$75,000 to $99,999",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
"$50,000 to $74,999",College or beyond,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
"Over $100,000",College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"Over $100,000",College or beyond,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree
"$50,000 to $74,999",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
"$75,000 to $99,999",College or beyond,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
"$50,000 to $74,999",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
Prefer not to answer,High school,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"$75,000 to $99,999",College or beyond,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
"$20,000 to $34,999",College or beyond,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
"Over $100,000",College or beyond,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"$75,000 to $99,999",High school,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"$50,000 to $74,999",College or beyond,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
"$20,000 to $34,999",College or beyond,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
"$75,000 to $99,999",High school,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
"Over $100,000",High school,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Prefer not to answer,College or beyond,Agree,Disagree,Agree,Agree,Agree,Agree,Agree
"$20,000 to $34,999",College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
"Over $100,000",College or beyond,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree
"$20,000 to $34,999",College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
"$75,000 to $99,999",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree
"Over $100,000",College or beyond,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree
"$50,000 to $74,999",College or beyond,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree
"$50,000 to $74,999",High school,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree
"$50,000 to $74,999",College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree
"$20,000 to $34,999",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree
Prefer not to answer,College or beyond,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Prefer not to answer,College or beyond,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
"$50,000 to $74,999",College or beyond,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree
"Over $100,000",College or beyond,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree
"Over $100,000",College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
Prefer not to answer,College or beyond,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree
Prefer not to answer,College or beyond,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"$50,000 to $74,999",High school,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
"Over $100,000",College or beyond,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree
