Q30,Q9,Q7,Q1_6,Q1_7,Q1_8
3-5 years,12 years old,Piano/keyboard,Disagree,Agree,Agree
1-2 years,9 years old,Piano/keyboard,Agree,Agree,Disagree
More than 5 years,16 years old,Guitar,Agree,Agree,Disagree
Less than 1 year,13 years old,Guitar,Agree,Agree,Agree
Less than 1 year,14 years old,Other,Strongly Agree,Strongly Agree,Strongly Agree
1-2 years,13 years old,Guitar,Disagree,Agree,Agree
3-5 years,7 years old,Guitar,Agree,Agree,Agree
1-2 years,15 years old,Bass,Agree,Agree,Agree
Less than 1 year,9 years old,Piano/keyboard,Strongly Agree,Strongly Agree,Agree
Less than 1 year,12 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,10 years old,Drums,Disagree,Disagree,Disagree
Less than 1 year,13 years old,Guitar,Disagree,Disagree,Disagree
1-2 years,9 years old,Guitar,Strongly Agree,Strongly Agree,Agree
1-2 years,11 years old,Guitar,Agree,Agree,Agree
3-5 years,14 years old,Guitar,Agree,Agree,Strongly Agree
Less than 1 year,13 years old,Bass,Strongly Disagree,Strongly Disagree,Strongly Disagree
Less than 1 year,7 years old,Other,Strongly Disagree,Strongly Disagree,Strongly Disagree
Less than 1 year,9 years old,Guitar,Agree,Agree,Agree
Less than 1 year,15 years old,Guitar,Strongly Agree,Strongly Agree,Strongly Agree
More than 5 years,16 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,14 years old,Guitar,Agree,Agree,Agree
Less than 1 year,13 years old,Bass,99,99,99
Less than 1 year,13 years old,Bass,Agree,Agree,Disagree
3-5 years,16 years old,Guitar,Agree,Strongly Agree,Disagree
Less than 1 year,9 years old,Guitar,Agree,Disagree,Agree
Less than 1 year,16 years old,Guitar,Strongly Agree,Strongly Agree,Strongly Agree
Less than 1 year,8 years old,Guitar,Agree,Strongly Agree,Agree
1-2 years,8 years old,Guitar,Strongly Agree,Strongly Agree,Strongly Agree
Less than 1 year,8 years old,Guitar,Agree,Agree,Agree
1-2 years,15 years old,Drums,Disagree,Agree,Disagree
Less than 1 year,12 years old,Drums,Agree,Agree,Agree
More than 5 years,14 years old,Drums,Agree,Agree,Disagree
Less than 1 year,8 years old,Vocal,Agree,Strongly Agree,Disagree
Less than 1 year,14 years old,Bass,Agree,Agree,Disagree
Less than 1 year,16 years old,Guitar,Agree,Agree,Agree
Less than 1 year,11 years old,Guitar,Agree,Agree,Agree
Less than 1 year,8 years old,Guitar,Strongly Agree,Strongly Agree,Strongly Agree
Less than 1 year,7 years old,Piano/keyboard,Agree,Agree,Agree
Less than 1 year,16 years old,Guitar,Agree,Agree,Agree
1-2 years,11 years old,Guitar,Disagree,Disagree,Disagree
1-2 years,17 years old,Piano/keyboard,Strongly Agree,Strongly Agree,Strongly Agree
More than 5 years,14 years old,Guitar,Disagree,Agree,Disagree
1-2 years,14 years old,Drums,Disagree,Disagree,Disagree
Less than 1 year,11 years old,Guitar,Disagree,Agree,Disagree
2-3 years,9 years old,Piano/keyboard,Agree,Agree,Agree
1-2 years,14 years old,Guitar,Agree,Agree,Strongly Agree
Less than 1 year,9 years old,Piano/keyboard,Strongly Agree,Agree,Disagree
Less than 1 year,10 years old,Guitar,Disagree,Disagree,Disagree
Less than 1 year,11 years old,Piano/keyboard,Agree,Agree,Agree
1-2 years,11 years old,Guitar,Disagree,Agree,Disagree
Less than 1 year,9 years old,Guitar,Disagree,Agree,Agree
