ID,Major,Folk,Country,Classical,Pop,Rock,Metal,Punk,HipHop,Reggae,Jazz,Latin,EDM,Opera
135,Performance,1,3,2,4,4,1,1,3,2,1,3,2,1
136,Performance,2,1,1,4,4,2,3,5,4,1,3,3,1
137,Production,1,1,2,2,4,1,1,1,2,1,2,3,2
138,Performance,2,3,2,3,5,4,3,5,2,2,2,1,1
139,Performance,4,4,3,5,3,2,3,4,3,2,3,3,2
140,Production,3,1,3,1,2,2,2,3,2,1,1,1,2
141,Production,2,3,4,3,5,5,3,1,2,4,1,1,4
142,Production,1,1,3,2,4,4,4,2,5,4,2,2,1
143,Performance,2,2,3,4,4,2,1,4,3,3,2,2,2
144,Performance,2,2,3,4,2,1,2,4,1,4,3,3,3
145,Performance,2,4,5,1,5,4,4,2,2,3,2,1,3
146,Performance,3,3,5,3,3,2,3,3,2,4,2,2,3
147,Production,4,3,4,3,5,2,5,3,5,2,2,1,2
148,Performance,4,4,2,4,4,4,4,2,2,2,1,1,2
149,Production,2,1,3,5,4,1,3,4,5,4,2,5,1
150,Performance,4,3,5,4,5,3,3,3,4,3,3,3,3
151,Production,2,1,2,1,5,4,5,3,5,4,1,3,1
152,Performance,2,2,2,4,5,3,3,4,3,2,2,3,2
153,Performance,5,4,5,4,3,1,1,5,4,3,5,1,3
154,Performance,1,1,2,4,3,2,1,1,1,1,1,5,1
155,Performance,2,4,3,4,1,1,1,5,3,3,5,2,1
156,Performance,2,1,3,1,3,5,2,1,1,1,2,1,5
157,Production,1,2,4,4,4,1,3,3,3,3,1,1,1
158,Performance,1,2,4,3,5,4,3,1,1,3,1,1,1
159,Performance,3,2,2,3,4,2,2,2,3,5,4,1,1
160,Performance,1,2,4,4,4,1,1,4,3,3,1,1,1
161,Performance,3,3,4,2,5,5,5,2,4,4,2,1,3
162,Production,1,2,4,3,2,1,1,2,1,2,1,5,4
163,Performance,5,3,3,1,1,1,1,1,1,1,3,1,5
164,Performance,1,1,5,3,5,5,2,3,4,4,4,2,1
165,Performance,4,2,4,1,5,5,3,1,3,3,2,1,3
166,Performance,3,3,5,2,4,4,3,1,2,2,2,1,4
167,Production,2,2,5,1,1,2,1,1,1,4,1,4,5
168,Performance,1,1,3,2,5,4,5,2,2,1,1,1,1
169,Performance,3,3,4,3,4,3,3,4,4,5,5,3,3
170,Performance,3,2,4,4,5,4,3,2,4,3,4,1,5
171,Performance,2,1,2,4,3,1,1,5,4,4,3,4,3
172,Production,2,2,3,2,5,1,2,1,1,4,1,1,2
173,Performance,1,1,2,3,2,1,1,4,3,3,5,3,1
174,Performance,4,2,3,4,2,1,1,1,1,3,3,2,4
175,Performance,2,2,2,4,3,2,2,1,1,2,1,5,1
176,Performance,3,2,5,3,3,1,1,3,2,2,2,1,4
177,Production,3,2,5,1,4,5,4,1,1,1,1,1,4
178,Performance,2,2,4,2,4,5,3,2,3,2,2,2,3
179,Performance,5,2,4,5,2,1,1,1,3,4,3,1,4
180,Performance,1,2,3,5,4,1,3,5,2,1,3,4,1
181,Performance,4,3,5,1,5,5,4,1,3,3,1,1,3
182,Production,2,1,3,2,4,2,4,2,3,1,1,1,1
183,Production,2,2,3,2,3,1,1,5,3,3,2,1,2
184,Production,2,2,2,4,4,3,3,4,4,3,3,3,3
185,Performance,2,3,1,2,2,1,1,3,2,2,3,1,1
186,Performance,4,2,2,3,5,3,5,5,4,2,2,2,2
187,Performance,1,1,1,2,3,1,1,4,2,1,2,4,1
188,Performance,1,2,4,4,4,4,3,5,4,3,2,2,1
189,Production,1,1,1,3,2,1,1,5,3,1,1,4,1
190,Production,2,2,3,4,5,3,3,3,3,2,4,3,3
191,Performance,3,2,3,2,5,4,4,2,5,4,3,1,2
192,Performance,4,3,5,4,4,3,1,1,1,4,4,1,5
193,Performance,2,2,5,3,4,4,3,1,2,4,1,1,5
194,Production,3,3,4,3,3,1,4,2,2,3,4,1,4
195,Performance,2,1,3,4,4,1,5,4,5,5,3,1,2
196,Performance,3,3,4,2,5,4,3,5,4,5,4,2,2
197,Production,5,5,5,4,5,4,3,4,4,4,4,5,1
198,Production,1,2,2,5,5,1,1,5,4,4,5,4,1
199,Production,3,3,5,2,4,2,3,3,2,4,1,2,5
200,Performance,2,3,3,5,5,2,5,4,2,2,3,5,2
201,Performance,2,2,3,3,5,4,3,2,2,5,3,1,2
202,Performance,2,1,1,3,1,1,1,5,1,1,5,1,1
203,Performance,1,1,1,1,4,5,3,2,1,1,1,2,1
204,Production,1,3,2,4,3,1,2,3,1,2,3,2,3
205,Production,1,3,2,4,3,1,1,4,3,1,1,3,2
206,Production,1,1,1,3,1,1,1,5,2,1,2,5,1
207,Production,3,3,4,1,3,1,2,5,4,4,3,1,3
208,Production,5,1,4,3,5,5,4,5,5,5,3,4,3
209,Production,2,4,4,5,5,3,3,2,1,4,3,1,1
210,Production,3,2,3,4,2,2,1,4,3,4,5,2,2
211,Performance,2,3,5,4,5,3,4,3,3,2,2,1,2
212,Performance,3,2,4,2,5,2,4,3,4,4,3,2,2
213,Production,4,3,5,2,4,3,3,2,3,5,4,1,3
214,Performance,5,3,4,3,3,1,2,1,2,5,3,2,3
215,Production,2,4,1,4,3,1,4,2,5,3,2,3,3
216,Performance,5,4,5,5,3,1,3,4,3,3,5,2,3
217,Production,2,3,2,4,5,3,3,1,2,3,5,1,1
218,Performance,2,4,4,2,3,2,2,3,4,5,4,3,1
219,Performance,2,2,4,4,4,4,4,4,4,2,4,4,1
220,Production,4,3,2,4,5,4,4,2,4,1,5,1,1
221,Production,1,1,3,3,5,4,2,1,1,3,4,1,2
222,Performance,3,2,3,4,4,3,3,2,4,3,4,1,1
223,Production,2,1,3,4,3,1,1,5,4,3,5,3,2
224,Production,1,2,2,4,2,1,1,5,3,2,4,1,1
225,Production,2,1,5,2,4,1,3,3,3,4,2,2,4
226,Performance,1,1,1,2,3,2,1,2,2,2,1,2,1
227,Performance,1,1,3,3,3,1,2,5,3,3,2,1,4
228,Performance,2,1,2,5,4,1,1,1,1,2,4,1,3
229,Production,1,2,4,5,5,1,4,1,2,4,3,1,2
230,Production,2,4,3,5,5,2,3,2,3,3,5,2,1
231,Performance,3,3,2,3,4,3,4,4,5,4,3,1,1
232,Performance,2,3,4,4,5,2,2,3,4,4,5,1,4
233,Performance,2,1,4,3,5,2,3,3,4,5,4,2,1
234,Performance,1,1,4,4,5,4,3,4,2,2,2,3,3
235,Production,4,4,4,5,5,4,4,2,2,4,5,2,4
236,Performance,2,1,2,4,3,2,2,4,4,2,4,2,1
237,Production,2,2,3,5,5,2,4,4,4,3,4,5,2
238,Production,2,3,3,4,5,1,2,2,1,3,4,2,4
239,Performance,1,2,1,3,1,1,1,1,1,1,1,1,1
240,Performance,3,2,2,5,3,1,1,4,2,1,5,3,2
241,Performance,5,4,5,3,5,4,3,3,3,4,5,1,4
242,Performance,4,2,1,5,2,1,1,3,2,1,5,1,1
243,Production,3,2,3,4,4,3,1,4,2,3,2,5,2
244,Performance,2,1,5,1,5,5,2,1,1,4,2,1,1
245,Performance,3,3,2,3,4,2,2,2,1,3,5,1,5
246,Performance,3,3,3,3,3,3,3,3,3,3,3,3,3
247,Production,2,3,2,5,2,1,2,2,1,1,3,1,1
248,Performance,4,2,5,2,5,2,1,3,3,5,2,3,4
249,Performance,2,2,2,5,4,2,2,4,3,2,5,3,2
250,Production,3,1,3,5,4,3,3,5,4,3,3,3,3
251,Production,2,1,2,5,2,1,1,4,3,3,1,1,1
252,Production,3,2,3,4,4,1,1,2,2,4,4,1,2
253,Performance,3,4,4,2,4,4,4,3,2,2,3,2,3
254,Performance,2,1,2,5,2,1,1,2,3,3,5,1,2
255,Performance,1,2,4,3,5,3,4,1,1,1,4,2,4
256,Performance,2,1,1,4,5,4,5,5,5,5,3,2,1
257,Performance,3,1,1,4,5,5,5,5,5,4,2,1,1
258,Production,4,3,5,2,5,5,5,2,5,4,2,1,5
259,Production,2,2,4,4,4,2,4,4,4,5,4,4,3
260,Performance,3,3,2,4,3,1,1,4,3,2,3,2,1
261,Performance,3,4,4,3,4,4,3,2,2,4,5,4,3
262,Production,3,5,2,5,5,4,3,1,1,1,3,1,1
263,Performance,1,3,3,4,5,3,1,2,2,3,2,2,2
264,Production,5,2,4,3,4,2,3,5,5,2,4,3,3
265,Performance,2,2,2,4,3,1,3,3,3,1,2,2,1
266,Performance,2,1,3,2,5,5,3,2,3,2,5,5,2
267,Production,2,3,4,2,4,4,5,4,4,5,5,3,2
268,Performance,1,2,1,3,2,1,1,1,2,1,3,1,1
